profit,datetime,kraken,gdax,quantity
16.43,2017-12-02 03:21:28.472475,82.510000,84.810000,754.141400
16.43,2017-12-02 03:21:44.684283,82.510000,84.810000,754.141400
14.88,2017-12-02 03:21:58.881731,82.550000,84.680000,754.507000
14.88,2017-12-02 03:22:05.502082,82.550000,84.680000,754.507000
14.88,2017-12-02 03:22:13.646655,82.550000,84.680000,754.507000
14.88,2017-12-02 03:22:20.514977,82.550000,84.680000,754.507000
14.88,2017-12-02 03:22:29.116960,82.550000,84.680000,754.507000
14.88,2017-12-02 03:22:46.006801,82.550000,84.680000,754.507000
14.88,2017-12-02 03:22:52.636207,82.550000,84.680000,754.507000
14.88,2017-12-02 03:22:59.047854,82.550000,84.680000,754.507000
14.88,2017-12-02 03:23:05.538203,82.550000,84.680000,754.507000
14.88,2017-12-02 03:23:12.023316,82.550000,84.680000,754.507000
14.88,2017-12-02 03:23:18.582219,82.550000,84.680000,754.507000
14.88,2017-12-02 03:23:28.956392,82.550000,84.680000,754.507000
14.88,2017-12-02 03:23:35.694881,82.550000,84.680000,754.507000
14.88,2017-12-02 03:24:49.362913,82.550000,84.680000,754.507000
14.88,2017-12-02 03:24:59.978960,82.550000,84.680000,754.507000
14.88,2017-12-02 03:25:06.611652,82.550000,84.680000,754.507000
14.88,2017-12-02 03:25:28.385877,82.550000,84.680000,754.507000
15.34,2017-12-02 03:25:35.189337,82.500000,84.680000,754.050000
15.34,2017-12-02 03:25:45.528046,82.500000,84.680000,754.050000
15.34,2017-12-02 03:25:52.107524,82.500000,84.680000,754.050000
15.34,2017-12-02 03:25:58.817796,82.500000,84.680000,754.050000
17.72,2017-12-02 03:26:06.932940,82.240000,84.680000,751.673600
15.34,2017-12-02 03:26:14.004201,82.500000,84.680000,754.050000
15.34,2017-12-02 03:26:20.753451,82.500000,84.680000,754.050000
15.34,2017-12-02 03:26:28.503178,82.500000,84.680000,754.050000
15.34,2017-12-02 03:26:36.813107,82.500000,84.680000,754.050000
15.34,2017-12-02 03:26:48.171068,82.500000,84.680000,754.050000
15.34,2017-12-02 03:26:54.936739,82.500000,84.680000,754.050000
15.34,2017-12-02 03:27:02.801358,82.500000,84.680000,754.050000
15.34,2017-12-02 03:27:09.069117,82.500000,84.680000,754.050000
15.34,2017-12-02 03:27:16.642822,82.500000,84.680000,754.050000
15.34,2017-12-02 03:27:24.754639,82.500000,84.680000,754.050000
15.34,2017-12-02 03:27:31.582955,82.500000,84.680000,754.050000
15.34,2017-12-02 03:27:38.631583,82.500000,84.680000,754.050000
15.34,2017-12-02 03:27:49.439793,82.500000,84.680000,754.050000
15.34,2017-12-02 03:27:56.191822,82.500000,84.680000,754.050000
15.34,2017-12-02 03:28:03.008666,82.500000,84.680000,754.050000
16.43,2017-12-02 03:28:10.007997,82.500000,84.800000,754.050000
16.43,2017-12-02 03:28:32.277078,82.500000,84.800000,754.050000
16.43,2017-12-02 03:28:39.712267,82.500000,84.800000,754.050000
14.97,2017-12-02 03:28:53.633340,82.550000,84.690000,754.507000
14.97,2017-12-02 03:29:09.986694,82.550000,84.690000,754.507000
14.97,2017-12-02 03:29:18.145283,82.550000,84.690000,754.507000
14.97,2017-12-02 03:29:26.618850,82.550000,84.690000,754.507000
14.97,2017-12-02 03:29:33.318432,82.550000,84.690000,754.507000
14.97,2017-12-02 03:29:39.921028,82.550000,84.690000,754.507000
14.97,2017-12-02 03:29:46.546934,82.550000,84.690000,754.507000
14.97,2017-12-02 03:29:53.194847,82.550000,84.690000,754.507000
14.97,2017-12-02 03:29:59.874904,82.550000,84.690000,754.507000
14.97,2017-12-02 03:30:11.178673,82.550000,84.690000,754.507000
14.97,2017-12-02 03:30:19.771786,82.550000,84.690000,754.507000
14.97,2017-12-02 03:30:28.948923,82.550000,84.690000,754.507000
14.97,2017-12-02 03:30:36.356605,82.550000,84.690000,754.507000
14.97,2017-12-02 03:30:58.133048,82.550000,84.690000,754.507000
14.97,2017-12-02 03:31:04.865471,82.550000,84.690000,754.507000
14.97,2017-12-02 03:31:11.566309,82.550000,84.690000,754.507000
14.97,2017-12-02 03:31:18.241508,82.550000,84.690000,754.507000
14.97,2017-12-02 03:31:24.965179,82.550000,84.690000,754.507000
14.97,2017-12-02 03:31:32.197001,82.550000,84.690000,754.507000
14.97,2017-12-02 03:31:40.139140,82.550000,84.690000,754.507000
14.97,2017-12-02 03:31:47.242575,82.550000,84.690000,754.507000
14.97,2017-12-02 03:31:53.898090,82.550000,84.690000,754.507000
14.97,2017-12-02 03:32:00.739584,82.550000,84.690000,754.507000
14.97,2017-12-02 03:32:08.141193,82.550000,84.690000,754.507000
14.97,2017-12-02 03:32:16.692145,82.550000,84.690000,754.507000
14.97,2017-12-02 03:32:26.576613,82.550000,84.690000,754.507000
14.97,2017-12-02 03:32:36.802868,82.550000,84.690000,754.507000
14.97,2017-12-02 03:32:47.067611,82.550000,84.690000,754.507000
14.97,2017-12-02 03:33:01.811812,82.550000,84.690000,754.507000
14.97,2017-12-02 03:33:08.501226,82.550000,84.690000,754.507000
14.97,2017-12-02 03:33:14.875697,82.550000,84.690000,754.507000
15.97,2017-12-02 03:33:21.630603,82.550000,84.800000,754.507000
15.97,2017-12-02 03:33:27.943988,82.550000,84.800000,754.507000
18.53,2017-12-02 03:33:33.982600,82.270000,84.800000,751.947800
18.53,2017-12-02 03:33:41.381359,82.270000,84.800000,751.947800
18.53,2017-12-02 03:33:49.527179,82.270000,84.800000,751.947800
15.97,2017-12-02 03:33:57.200205,82.550000,84.800000,754.507000
15.97,2017-12-02 03:34:05.012749,82.550000,84.800000,754.507000
15.97,2017-12-02 03:34:30.442121,82.550000,84.800000,754.507000
17.79,2017-12-02 03:34:37.670023,82.550000,85.000000,754.507000
17.79,2017-12-02 03:34:44.819337,82.550000,85.000000,754.507000
17.79,2017-12-02 03:34:53.681526,82.550000,85.000000,754.507000
17.79,2017-12-02 03:35:00.604487,82.550000,85.000000,754.507000
17.79,2017-12-02 03:35:07.654543,82.550000,85.000000,754.507000
17.79,2017-12-02 03:35:17.807648,82.550000,85.000000,754.507000
17.79,2017-12-02 03:35:28.023056,82.550000,85.000000,754.507000
17.79,2017-12-02 03:35:34.445672,82.550000,85.000000,754.507000
17.79,2017-12-02 03:35:41.000989,82.550000,85.000000,754.507000
17.79,2017-12-02 03:35:47.716584,82.550000,85.000000,754.507000
17.79,2017-12-02 03:35:55.512777,82.550000,85.000000,754.507000
17.79,2017-12-02 03:36:03.930710,82.550000,85.000000,754.507000
17.79,2017-12-02 03:36:11.886106,82.550000,85.000000,754.507000
17.79,2017-12-02 03:36:18.461976,82.550000,85.000000,754.507000
17.79,2017-12-02 03:36:25.148376,82.550000,85.000000,754.507000
17.79,2017-12-02 03:36:32.305530,82.550000,85.000000,754.507000
17.79,2017-12-02 03:36:41.311017,82.550000,85.000000,754.507000
17.79,2017-12-02 03:36:51.885181,82.550000,85.000000,754.507000
17.79,2017-12-02 03:36:58.972639,82.550000,85.000000,754.507000
17.79,2017-12-02 03:37:05.769586,82.550000,85.000000,754.507000
16.88,2017-12-02 03:37:13.780555,82.540000,84.890000,754.415600
16.88,2017-12-02 03:37:20.452472,82.540000,84.890000,754.415600
16.88,2017-12-02 03:37:27.117327,82.540000,84.890000,754.415600
16.88,2017-12-02 03:37:36.651227,82.540000,84.890000,754.415600
10.85,2017-12-02 03:37:43.110312,83.200000,84.890000,760.448000
10.85,2017-12-02 03:37:49.684791,83.200000,84.890000,760.448000
10.85,2017-12-02 03:38:03.708293,83.200000,84.890000,760.448000
10.85,2017-12-02 03:38:10.834960,83.200000,84.890000,760.448000
10.85,2017-12-02 03:38:17.987791,83.200000,84.890000,760.448000
10.85,2017-12-02 03:38:27.466949,83.200000,84.890000,760.448000
10.85,2017-12-02 03:38:34.334917,83.200000,84.890000,760.448000
10.85,2017-12-02 03:38:41.937596,83.200000,84.890000,760.448000
10.85,2017-12-02 03:38:48.899498,83.200000,84.890000,760.448000
10.85,2017-12-02 03:38:55.911714,83.200000,84.890000,760.448000
10.85,2017-12-02 03:39:17.618895,83.200000,84.890000,760.448000
16.88,2017-12-02 03:39:24.641998,82.540000,84.890000,754.415600
16.88,2017-12-02 03:39:30.988862,82.540000,84.890000,754.415600
16.88,2017-12-02 03:39:42.167308,82.540000,84.890000,754.415600
16.97,2017-12-02 03:39:48.916054,82.530000,84.890000,754.324200
16.97,2017-12-02 03:39:56.176484,82.530000,84.890000,754.324200
16.97,2017-12-02 03:40:17.800032,82.530000,84.890000,754.324200
11.31,2017-12-02 03:40:24.518211,83.150000,84.890000,759.991000
11.31,2017-12-02 03:40:30.799051,83.150000,84.890000,759.991000
17.07,2017-12-02 03:40:41.284074,82.520000,84.890000,754.232800
17.07,2017-12-02 03:40:47.892489,82.520000,84.890000,754.232800
17.07,2017-12-02 03:40:54.966685,82.520000,84.890000,754.232800
17.07,2017-12-02 03:41:03.163307,82.520000,84.890000,754.232800
17.07,2017-12-02 03:41:10.806811,82.520000,84.890000,754.232800
17.07,2017-12-02 03:41:17.421446,82.520000,84.890000,754.232800
17.07,2017-12-02 03:41:26.763217,82.520000,84.890000,754.232800
17.07,2017-12-02 03:41:34.943364,82.520000,84.890000,754.232800
18.07,2017-12-02 03:41:41.864419,82.520000,85.000000,754.232800
18.07,2017-12-02 03:41:48.607489,82.520000,85.000000,754.232800
18.07,2017-12-02 03:41:55.218979,82.520000,85.000000,754.232800
18.07,2017-12-02 03:42:01.913060,82.520000,85.000000,754.232800
18.07,2017-12-02 03:42:08.654594,82.520000,85.000000,754.232800
18.07,2017-12-02 03:42:15.307622,82.520000,85.000000,754.232800
18.07,2017-12-02 03:42:22.176337,82.520000,85.000000,754.232800
18.07,2017-12-02 03:42:28.893814,82.520000,85.000000,754.232800
18.07,2017-12-02 03:42:35.464234,82.520000,85.000000,754.232800
18.07,2017-12-02 03:42:42.253026,82.520000,85.000000,754.232800
18.07,2017-12-02 03:42:49.018385,82.520000,85.000000,754.232800
18.07,2017-12-02 03:42:55.498075,82.520000,85.000000,754.232800
18.07,2017-12-02 03:43:08.913534,82.520000,85.000000,754.232800
18.07,2017-12-02 03:43:15.641892,82.520000,85.000000,754.232800
18.07,2017-12-02 03:43:25.843950,82.520000,85.000000,754.232800
18.07,2017-12-02 03:43:32.652734,82.520000,85.000000,754.232800
18.07,2017-12-02 03:43:39.264367,82.520000,85.000000,754.232800
18.07,2017-12-02 03:43:45.752111,82.520000,85.000000,754.232800
18.07,2017-12-02 03:43:53.439168,82.520000,85.000000,754.232800
18.07,2017-12-02 03:44:00.243311,82.520000,85.000000,754.232800
18.07,2017-12-02 03:44:14.374453,82.520000,85.000000,754.232800
18.07,2017-12-02 03:44:36.289407,82.520000,85.000000,754.232800
18.07,2017-12-02 03:44:43.907346,82.520000,85.000000,754.232800
18.07,2017-12-02 03:44:51.349080,82.520000,85.000000,754.232800
18.07,2017-12-02 03:44:58.091080,82.520000,85.000000,754.232800
17.43,2017-12-02 03:45:05.107465,82.520000,84.930000,754.232800
17.43,2017-12-02 03:45:13.454376,82.520000,84.930000,754.232800
17.43,2017-12-02 03:45:20.547232,82.520000,84.930000,754.232800
17.43,2017-12-02 03:45:27.181750,82.520000,84.930000,754.232800
17.43,2017-12-02 03:45:33.453147,82.520000,84.930000,754.232800
17.43,2017-12-02 03:45:40.148462,82.520000,84.930000,754.232800
17.43,2017-12-02 03:45:50.159987,82.520000,84.930000,754.232800
17.43,2017-12-02 03:45:57.245729,82.520000,84.930000,754.232800
17.43,2017-12-02 03:46:07.689971,82.520000,84.930000,754.232800
17.43,2017-12-02 03:46:14.472947,82.520000,84.930000,754.232800
18.07,2017-12-02 03:46:22.668800,82.520000,85.000000,754.232800
18.07,2017-12-02 03:46:32.845736,82.520000,85.000000,754.232800
18.07,2017-12-02 03:46:39.992335,82.520000,85.000000,754.232800
18.07,2017-12-02 03:46:46.477914,82.520000,85.000000,754.232800
18.07,2017-12-02 03:47:08.233293,82.520000,85.000000,754.232800
18.07,2017-12-02 03:47:15.090290,82.520000,85.000000,754.232800
18.07,2017-12-02 03:47:21.831577,82.520000,85.000000,754.232800
18.07,2017-12-02 03:47:30.210708,82.520000,85.000000,754.232800
18.07,2017-12-02 03:47:37.003364,82.520000,85.000000,754.232800
18.07,2017-12-02 03:47:43.807416,82.520000,85.000000,754.232800
18.07,2017-12-02 03:47:50.506362,82.520000,85.000000,754.232800
18.07,2017-12-02 03:47:57.707296,82.520000,85.000000,754.232800
18.07,2017-12-02 03:48:04.368712,82.520000,85.000000,754.232800
18.07,2017-12-02 03:48:11.079189,82.520000,85.000000,754.232800
18.07,2017-12-02 03:48:17.570599,82.520000,85.000000,754.232800
18.07,2017-12-02 03:48:24.154065,82.520000,85.000000,754.232800
18.07,2017-12-02 03:48:32.374492,82.520000,85.000000,754.232800
18.07,2017-12-02 03:48:39.228536,82.520000,85.000000,754.232800
18.07,2017-12-02 03:48:46.201065,82.520000,85.000000,754.232800
18.07,2017-12-02 03:48:56.483404,82.520000,85.000000,754.232800
18.07,2017-12-02 03:49:04.296824,82.520000,85.000000,754.232800
18.07,2017-12-02 03:49:11.177778,82.520000,85.000000,754.232800
18.07,2017-12-02 03:49:18.540943,82.520000,85.000000,754.232800
18.07,2017-12-02 03:49:26.874837,82.520000,85.000000,754.232800
18.07,2017-12-02 03:49:33.574960,82.520000,85.000000,754.232800
18.07,2017-12-02 03:49:40.544635,82.520000,85.000000,754.232800
18.07,2017-12-02 03:49:47.370479,82.520000,85.000000,754.232800
18.07,2017-12-02 03:49:57.060097,82.520000,85.000000,754.232800
18.07,2017-12-02 03:50:04.358482,82.520000,85.000000,754.232800
18.07,2017-12-02 03:50:10.692704,82.520000,85.000000,754.232800
18.07,2017-12-02 03:50:17.770425,82.520000,85.000000,754.232800
12.12,2017-12-02 03:50:25.735227,83.170000,85.000000,760.173800
12.12,2017-12-02 03:50:36.559138,83.170000,85.000000,760.173800
12.12,2017-12-02 03:50:42.859648,83.170000,85.000000,760.173800
12.12,2017-12-02 03:50:52.038241,83.170000,85.000000,760.173800
12.12,2017-12-02 03:50:59.922137,83.170000,85.000000,760.173800
12.12,2017-12-02 03:51:06.490973,83.170000,85.000000,760.173800
12.12,2017-12-02 03:51:13.229899,83.170000,85.000000,760.173800
12.12,2017-12-02 03:51:21.063122,83.170000,85.000000,760.173800
12.03,2017-12-02 03:51:29.071314,83.170000,84.990000,760.173800
12.03,2017-12-02 03:51:37.679326,83.170000,84.990000,760.173800
12.03,2017-12-02 03:51:44.754954,83.170000,84.990000,760.173800
12.03,2017-12-02 03:51:51.462827,83.170000,84.990000,760.173800
12.03,2017-12-02 03:51:58.089711,83.170000,84.990000,760.173800
12.03,2017-12-02 03:52:04.837162,83.170000,84.990000,760.173800
12.03,2017-12-02 03:52:11.563715,83.170000,84.990000,760.173800
12.03,2017-12-02 03:52:18.237479,83.170000,84.990000,760.173800
11.76,2017-12-02 03:52:26.642576,83.200000,84.990000,760.448000
11.76,2017-12-02 03:52:33.325141,83.200000,84.990000,760.448000
11.76,2017-12-02 03:52:41.470770,83.200000,84.990000,760.448000
11.76,2017-12-02 03:52:48.703251,83.200000,84.990000,760.448000
11.76,2017-12-02 03:53:10.434685,83.200000,84.990000,760.448000
9.20,2017-12-02 03:53:20.443004,83.480000,84.990000,763.007200
9.20,2017-12-02 03:53:27.667950,83.480000,84.990000,763.007200
9.20,2017-12-02 03:53:34.343705,83.480000,84.990000,763.007200
10.30,2017-12-02 03:53:48.170226,83.360000,84.990000,761.910400
10.30,2017-12-02 03:53:54.849074,83.360000,84.990000,761.910400
10.30,2017-12-02 03:54:03.592564,83.360000,84.990000,761.910400
10.30,2017-12-02 03:54:10.330809,83.360000,84.990000,761.910400
10.30,2017-12-02 03:54:18.042964,83.360000,84.990000,761.910400
10.30,2017-12-02 03:54:26.802665,83.360000,84.990000,761.910400
10.30,2017-12-02 03:54:33.427403,83.360000,84.990000,761.910400
10.30,2017-12-02 03:54:39.885935,83.360000,84.990000,761.910400
10.30,2017-12-02 03:55:01.447417,83.360000,84.990000,761.910400
10.30,2017-12-02 03:55:08.012617,83.360000,84.990000,761.910400
10.30,2017-12-02 03:55:14.802461,83.360000,84.990000,761.910400
10.30,2017-12-02 03:55:21.392155,83.360000,84.990000,761.910400
10.30,2017-12-02 03:55:28.163925,83.360000,84.990000,761.910400
10.30,2017-12-02 03:55:35.451588,83.360000,84.990000,761.910400
10.30,2017-12-02 03:55:42.142872,83.360000,84.990000,761.910400
10.30,2017-12-02 03:56:03.545709,83.360000,84.990000,761.910400
10.30,2017-12-02 03:56:10.237951,83.360000,84.990000,761.910400
10.30,2017-12-02 03:56:17.110689,83.360000,84.990000,761.910400
10.30,2017-12-02 03:56:24.132893,83.360000,84.990000,761.910400
10.30,2017-12-02 03:56:30.786569,83.360000,84.990000,761.910400
